     0.0000     0.0000     0.0000  0.31804144E-005  0.31804139E-005  0.31765690E-005  0.31765686E-005  0.30826566E-005  0.30826562E-005
     0.0000     0.0351     0.0000  0.19387090E-005  0.19387155E-005  0.19361707E-005  0.19361772E-005  0.18742993E-005  0.18743055E-005
     0.0000     0.0701     0.0000  0.59240487E-006  0.59241132E-006  0.59144014E-006  0.59144658E-006  0.56806769E-006  0.56807387E-006
     0.0000     0.1052     0.0000  0.18700202E-007  0.18717948E-007  0.18655592E-007  0.18673295E-007  0.17590236E-007  0.17606929E-007
     0.0000     0.1403     0.0000  0.10024919E-005  0.99704457E-006  0.99741691E-006  0.99199714E-006  0.88209592E-006  0.87730278E-006
     0.0000     0.1754     0.0000  0.76203835E-008  0.16223672E-007  0.75775342E-008  0.16132447E-007  0.66137309E-008  0.14080525E-007
     0.0000     0.2104     0.0000  0.59702827E-005  0.60307403E-005  0.59537027E-005  0.60139924E-005  0.55606626E-005  0.56169722E-005
     0.0000     0.2455     0.0000  0.47679338E-005  0.47857409E-005  0.47620449E-005  0.47798299E-005  0.46182954E-005  0.46355436E-005
     0.0000     0.2806     0.0000  0.76620075E-005  0.76973587E-005  0.76534114E-005  0.76887229E-005  0.74431250E-005  0.74774663E-005
     0.0000     0.3157     0.0000  0.47334096E-005  0.48562055E-005  0.47230014E-005  0.48455273E-005  0.44735619E-005  0.45896167E-005
     0.0000     0.3507     0.0000  0.77155275E-005  0.77155839E-005  0.75242143E-005  0.75242693E-005  0.43714376E-005  0.43714696E-005
     0.0000     0.3858     0.0000  0.48562045E-005  0.47334093E-005  0.48455262E-005  0.47230011E-005  0.45896157E-005  0.44735615E-005
     0.0000     0.4209     0.0000  0.76973587E-005  0.76620075E-005  0.76887229E-005  0.76534114E-005  0.74774663E-005  0.74431250E-005
     0.0000     0.4559     0.0000  0.47857405E-005  0.47679338E-005  0.47798295E-005  0.47620449E-005  0.46355432E-005  0.46182954E-005
     0.0000     0.4910     0.0000  0.60307392E-005  0.59702827E-005  0.60139913E-005  0.59537027E-005  0.56169711E-005  0.55606626E-005
     0.0000     0.5261     0.0000  0.16223644E-007  0.76203677E-008  0.16132419E-007  0.75775185E-008  0.14080501E-007  0.66137172E-008
     0.0000     0.5612     0.0000  0.99704363E-006  0.10024935E-005  0.99199621E-006  0.99741853E-006  0.87730196E-006  0.88209736E-006
     0.0000     0.5962     0.0000  0.18717829E-007  0.18700215E-007  0.18673176E-007  0.18655604E-007  0.17606816E-007  0.17590248E-007
     0.0000     0.6313     0.0000  0.59241170E-006  0.59240377E-006  0.59144696E-006  0.59143904E-006  0.56807424E-006  0.56806662E-006
     0.0000     0.6664     0.0000  0.19387152E-005  0.19387072E-005  0.19361769E-005  0.19361689E-005  0.18743053E-005  0.18742975E-005
     0.0381     0.0000     0.0000  0.33584840E-005  0.33582723E-005  0.33542790E-005  0.33540676E-005  0.32516691E-005  0.32514642E-005
     0.0381     0.0351     0.0000  0.23181931E-005  0.23180142E-005  0.23150575E-005  0.23148789E-005  0.22386907E-005  0.22385179E-005
